id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
196,"They [Guardian editors] knew that publishing this story would cause partisan warriors to excitedly spread the story, and that cable news outlets would hyperventilate over it, and that they’d reap the rewards regardless of whether the story turned out to be true or false",1,270.00,0,0,,,,0.00,0.11,0.67,35.28,0.00
197,It was also apparently evidence of the paper’s clickbait tendencies,1,67.00,0,0,,,,1.00,0.05,0.35,27.49,0.00
198,"The Guardian, an otherwise solid and reliable paper, has such a pervasive and unprofessionally personal hatred for Julian Assange that it has frequently dispensed with all journalistic standards in order to malign him",1,217.00,0,0,"him, Julian Assange",,,3.00,0.03,0.30,21.06,0.00
199,long-standing (and well-documented) hostility towards Assange,1,61.00,0,0,Assange,,,2.00,0.00,0.00,-36.14,0.00
200,baffling observations ,1,22.00,0,0,,,,1.00,0.00,0.00,-91.30,0.00
201,"Despite all this, even analysts critical of the Guardian’s behaviour have shown a glaring failure to understand that its latest coverage represents not an aberration by the paper but decisively fits with a pattern",1,213.00,0,0,,,,1.00,0.06,0.67,28.51,0.00
202,"A pattern, not an aberration",0,28.00,0,0,,,,2.00,0.00,0.00,66.40,0.00
203,That is profoundly irresponsible journalism – fake news – that should be of the gravest concern to readers.,0,107.00,0,0,,,,1.00,-0.21,1.00,53.21,0.00
204,"Even if it later turns out that Manafort did visit Assange, the Guardian clearly had no compelling evidence for its claims when it published them.",0,146.00,0,0,"Manafort, Assange",,,1.00,-0.02,0.33,63.02,0.00
205,"It appears the Guardian has simply taken this story, provided by spooks, at face value.",0,87.00,0,0,,Guardian,,1.00,0.00,0.36,64.71,0.00
206,"And the only people who could have promised that kind of insurance are the security and intelligence services – presumably of Britain, the United States and / or Ecuador.",0,170.00,0,0,,,"Ecuador, Britain, United States",1.00,0.30,0.95,51.52,0.00
207,That at the very least hints that the Guardian thought they had “insurance” on this story.,0,90.00,0,0,,,,2.00,-0.39,0.52,89.08,0.00
208,"And yet this piece seems to have been casually waved through, given a green light even though its profound shortcomings were evident to a range of well-placed analysts and journalists from the outset",1,199.00,0,0,,,,1.00,0.01,0.62,54.90,0.00
209,"In that lengthy process, a variety of commissioning editors, lawyers, backbench editors and the editor herself, Kath Viner, would normally insist on cuts to anything that could not be rigorously defended and corroborated.",0,221.00,0,0,Kath Viner,,,1.00,0.15,0.65,21.06,0.00
210,"I worked for the Guardian for a number of years, and know well the layers of checks that any highly sensitive story has to go through before publication.",0,153.00,0,0,,,,1.00,0.10,0.90,59.98,0.00
211,Neither precaution was taken.,0,29.00,0,0,,,,1.00,0.00,0.00,33.58,0.00
212,"At a very minimum, they should have sought out a response from Assange and Manafort before publication.",0,103.00,0,0,Manafort,,,1.00,0.20,0.30,62.68,0.00
213,"Given this, one would have expected the Guardian’s editors to have insisted on the most stringent checks imaginable before going to press with Harding’s story.",0,159.00,0,0,Harding,,,1.00,0.20,0.45,46.10,0.00
214,"It is worth noting it should be vitally important for a serious publication like the Guardian to ensure its claims are unassailably true – both because Assange’s personal fate rests on their veracity, and because, even more importantly, a fundamental right, the freedom of the press, is at stake.",0,296.00,0,0,Assange,,,4.00,0.24,0.59,21.74,0.00
215,No fact-checking,0,16.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
216,Russians,1,8.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
217,Russians,1,8.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
218,this latest fabrication ,1,24.00,0,0,,,,2.00,0.50,0.90,-24.64,0.00
219,Murray:,0,7.00,0,0,Murray,,,2.00,0.00,0.00,36.62,0.00
220,It did not refer to the logs in its latest story.,0,49.00,0,0,,,,1.00,0.50,0.90,85.69,0.00
221,"In fact, the Guardian obtained the embassy’s logs in May, and has never made any mention of either Manafort or “Russians” being identified in them.",0,147.00,0,0,Manafort,,,1.00,0.00,0.00,63.02,0.00
222,Any visits by Manafort would have been logged.,0,46.00,0,0,Manafort,,,1.00,0.00,0.00,88.74,0.00
223,Former British ambassador Craig Murray also points out the extensive security checks insisted on by the embassy to which any visitor to Assange must submit.,0,156.00,0,0,Craig Murray,,,1.00,0.00,0.11,37.64,0.00
224,The Guardian provides none of that.”,0,36.00,0,0,,,,2.00,0.00,0.00,99.23,0.00
225,"According to Greenwald: “If Paul Manafort … visited Assange at the Embassy, there would be ample amounts of video and other photographic proof demonstrating that this happened.",0,176.00,0,0,"Assange, Paul Manafort, Greenwald",,,1.00,-0.12,0.38,44.07,0.00
226,Russians,1,8.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
227,"The environs of the Ecuadorian embassy are monitored especially heavily, with continuous filming by the UK and Ecuadorian authorities and most likely by the US and other actors with an interest in Assange’s fate.",0,212.00,0,0,Assange,,"US, UK",3.00,-0.01,0.72,20.05,0.00
228,"Glenn Greenwald is far from alone in noting that London is possibly the most surveilled city in the world, with CCTV cameras everywhere.",0,136.00,0,0,Glenn Greenwald,CCTV,,1.00,0.20,0.83,73.51,0.00
229,"The problem for the Guardian, which should have been obvious to its editors from the outset, is that any visits by Manafort would be easily verifiable without relying on unnamed “sources",1,186.00,0,0,Manafort,,,1.00,0.22,0.67,48.47,0.00
230,Heavy surveillance,0,18.00,0,0,,,,2.00,-0.20,0.50,35.61,0.00
231,An administrative error this month revealed that the US justice department had secretly filed criminal charges against Assange.,0,127.00,0,0,Assange,,US,1.00,-0.40,0.62,36.28,0.00
232,Now Assange and his supporters have been proved right once again.,0,65.00,0,0,"his, Assange",,,3.00,0.29,0.54,85.69,0.00
233,See here and here.,0,18.00,0,0,,,,3.00,0.00,0.00,118.18,0.00
234,"Even when a United Nations panel of experts in international law ruled in 2016 that Assange was being arbitrarily – and unlawfully – detained by the UK, Guardian writers led efforts to discredit the UN report",1,208.00,0,0,Assange,"UN, Guardian, United Nations",UK,1.00,-0.05,0.30,34.94,0.00
235,was ridiculed ,1,14.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
236,And it will pave the way for the US legal system to lock Assange up for a very long time.,0,89.00,0,0,,,US,1.00,0.07,0.36,85.02,0.00
237,It will soften opposition when the UK moves to arrest Assange on self-serving bail violation charges and extradites him to the US.,0,130.00,0,0,"Assange, him",,"US, UK",2.00,-0.05,0.00,49.15,0.00
238,"The Guardian story will prepare public opinion for the moment when Ecuador’s rightwing government under President Lenin Moreno forces Assange out of the embassy, having already withdrawn most of his rights to use digital media.",0,227.00,0,0,"Lenin Moreno, his",,Ecuador,1.00,0.17,0.19,44.41,0.00
239,"That, in turn, will make it much easier to silence Assange and the vital cause he represents: the use of new media to hold to account the old, corporate media and political elites through the imposition of far greater transparency.",0,231.00,0,0,"he, Assange",,,1.00,0.14,0.36,39.34,0.00
240,"The intention is to deeply discredit Assange, and by extension the Wikileaks organisation, in the eyes of right-thinking liberals.",0,130.00,0,0,,,,1.00,0.00,0.40,35.27,0.00
241,the head of an organisation engaged in espionage for a foreign power,1,68.00,0,0,,,,2.00,-0.12,0.12,42.38,0.00
242,The emotional impact of the Guardian story is to suggest that Assange is responsible for four years or more of Trump rule.,0,122.00,0,0,"Trump, Assange",,,1.00,0.23,0.57,66.07,0.00
243,‘Responsible for Trump’,0,23.00,0,0,Trump,,,2.00,0.20,0.55,34.59,0.00
244,"Manafort has denied the Guardian’s claims, while Assange has threatened to sue the Guardian for libel.",0,102.00,0,0,"Manafort, Assange",Guardian,,1.00,0.00,0.00,80.62,0.00
245,Russians,1,8.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
246,"These show that party bureaucrats sought to rig the primaries to make sure Clinton’s challenger for the Democratic nomination, Bernie Sanders, lost.",0,148.00,0,0,"Bernie Sanders, Clinton",,,1.00,0.50,0.89,57.61,0.00
247,aggressively exploited ,1,23.00,0,0,,,,2.00,0.00,0.00,-133.60,0.00
248,Central actors have suggested instead that the emails were leaked from within the Democratic party.,0,99.00,0,0,,,,1.00,0.00,0.25,56.25,0.00
249,"In truth, there is no public evidence that the emails were hacked, or that Russia was involved.",0,95.00,0,0,,,Russia,2.00,0.00,0.07,79.60,0.00
250,The Guardian’s latest story provides a supposedly stronger foundation for an existing narrative: that Assange and Wikileaks knowingly published emails hacked by Russia from the Democratic party’s servers.,0,204.00,0,0,"Wikileaks, Assange",,Russia,1.00,0.50,0.90,26.14,0.00
251,"It is intended to provide evidence for long-standing allegations that Assange conspired with Trump, and Trump’s supposed backers in the Kremlin, to damage Hillary Clinton during the 2016 presidential race.",0,205.00,0,0,"Hillary Clinton, Trump, Assange",,,0.00,0.00,0.00,32.57,0.00
252,The propaganda function of the piece is patent,1,46.00,0,0,,,,2.00,-0.10,0.10,71.82,0.00
253,"Instead, it amended the text, without acknowledging it had done so, to attribute the claims to unnamed, and uncheckable, “sources”.",0,131.00,0,0,,,,1.00,0.00,0.00,59.64,0.00
254,"Faced with the backlash, the Guardian quickly – and very quietly – rowed back its initial certainty that its story was based on verified facts.",0,143.00,0,0,,,,1.00,0.08,0.23,63.02,0.00
255,"Reporter Luke Harding’s latest article, claiming that Donald Trump’s disgraced former campaign manager Paul Manafort secretly visited Assange in Ecuador’s embassy in London on three occasions, is so full of holes that even hardened opponents of Assange in the corporate media are struggling to stand by it",1,305.00,0,0,"Luke Harding, Paul Manafort, Assange, Donald Trump",,Ecuador,0.00,0.09,0.43,23.77,0.00
256,long-running vilification ,1,26.00,0,0,,,,2.00,0.00,0.00,-175.90,0.00
257,vilification ,1,13.00,0,0,,,,2.00,0.00,0.00,-301.79,0.00
258,"So far, we are being told that authorities are keeping an eye on the migrants as they celebrate their journey, but no reports have been issued saying they have actually crossed over yet.",0,186.00,0,0,,,,2.00,0.05,0.55,46.44,0.00
259,"Kirstjen Nielsen (@SecNielsen) November 14, 2018",0,48.00,0,0,Kirstjen Nielsen,,,1.00,0.00,0.00,56.93,0.00
260,pic.twitter.com/eGyzwyXDw9 — Sec.,0,33.00,0,0,,,,2.00,-0.10,0.60,9.21,0.00
261,I want to thank @DeptofDefense for their partnership across the full spectrum of @DHSgov missions.,0,98.00,0,0,,,,1.00,0.35,0.55,73.17,0.00
262,I met with #SecDef in #Texas today to highlight the work that we are doing together to secure our borders.,0,106.00,0,0,,,,1.00,0.40,0.60,68.10,0.00
263,She also met with Secretary of Defense James Mattis in Texas.,0,61.00,0,0,"She, James Mattis",,,3.00,0.00,0.00,68.77,0.00
264,"Kirstjen Nielsen (@SecNielsen) November 14, 2018",0,48.00,0,0,Kirstjen Nielsen,,,1.00,0.00,0.00,56.93,0.00
265,pic.twitter.com/fOlIQNF5pW — Sec.,0,33.00,0,0,,,,2.00,-0.10,0.60,9.21,0.00
266,"Today, I am at the #Texas border talking with @CBP officials on how we are securing ports of entry.",0,99.00,0,0,,,,1.00,0.00,0.00,69.11,0.00
267,"Border security is national security, and @DHSgov will enforce our nation's laws.",0,81.00,0,0,,,,1.00,0.00,0.00,25.46,0.00
268,"Today, I am at the # Texas border talking with @ CBP officials on how we are securing ports of entry.""",0,102.00,0,0,,CBP,,1.00,0.00,0.00,60.65,0.00
269,"Secretary of Homeland Security Kirstjen Nielsen said, ""Border security is national security, and @ DHSgov will enforce our nation's laws.",0,137.00,0,0,Kirstjen Nielsen,,,1.00,0.00,0.00,9.89,0.00
270,"#USBP pic.twitter.com/uGWUKjxJkj — CBP San Diego (@CBPSanDiego) November 14, 2018",0,81.00,0,0,,CBP San Diego,,1.00,0.00,0.00,44.41,0.00
271,All seeking entry into the U.S. are urged to present themselves at an official Port of Entry.,0,93.00,0,0,,,U.S.,3.00,0.00,0.00,71.14,0.00
272,#CBP has deployed resources to safely secure the area near Imperial Beach.,0,74.00,0,0,,,,1.00,0.25,0.50,59.30,0.00
273,the migrant caravan ,1,20.00,0,0,,,,2.00,0.00,0.00,9.21,0.00
274,"All seeking entry into the U.S. are urged to present themselves at an official Port of Entry.""",0,94.00,0,0,,,U.S.,3.00,0.00,0.00,71.14,0.00
275,# CBP has deployed resources to safely secure the area near Imperial Beach.,0,75.00,0,0,,CBP,,1.00,0.25,0.50,50.84,0.00
276,"US Customs and Border Patrol San Diego tweeted, ""The first group of the migrant caravan arrived at the Tijuana border yesterday afternoon.",0,138.00,0,0,,"Border Patrol San Diego, Customs",US,1.00,0.25,0.33,40.69,0.00
277,"Border Patrol has not confirmed whether this group is part of the caravan.STORY: http://via.kswbtv.com/Ky5E4 Posted by FOX 5 San Diego on Tuesday, November 13, 2018",0,164.00,0,0,,"Border Patrol, FOX",,1.00,-0.20,1.00,54.56,0.00
278,Increased activity at the U.S.-Mexico border after part of the Central American migrant caravan arrived in Tijuana.,0,115.00,0,0,,,,1.00,0.00,0.12,11.92,0.00
279,"The caravan is here, illegally entering America This is a national disgrace Arrest and deport them all back to their home country pic.twitter.com/zmAvbC13eL — Charlie Kirk (@charliekirk11) November 14, 2018",0,206.00,0,0,Charlie Kirk,,America,1.00,-0.18,0.17,32.57,0.00
280,Video of the migrants was captured in various reports.,0,54.00,0,0,,,,2.00,0.00,0.50,62.34,0.00
281,"Several border agents were seen patrolling the area in trucks, 4-wheelers, a helicopter and on horses.",0,102.00,0,0,,,,1.00,0.00,0.00,63.70,0.00
282,A few jumped or crawled to openings in the fence onto U.S. soil but quickly ran back as Border Patrol agents approached.,0,120.00,0,0,,Border Patrol,U.S.,1.00,0.04,0.20,74.53,0.00
283,Several people scaled the fence and sat on top of it.,0,53.00,0,0,,,,3.00,0.25,0.25,85.69,0.00
284,You also agree to this site's Privacy Policy and Terms of Use.,0,62.00,0,0,,,,1.00,0.00,0.00,76.22,0.00
285,You may opt out at anytime.,0,27.00,0,0,,,,2.00,0.00,0.00,99.23,0.00
286,Completing this poll grants you access to Freedom Outpost updates free of charge.,0,81.00,0,0,,Freedom Outpost,,1.00,0.40,0.80,66.74,0.00
287,Comments This field is for validation purposes and should be left unchanged.,0,76.00,0,0,,,,1.00,0.00,0.00,59.30,0.00
288,Email *,0,7.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
289,I'm not sure if he should have.,0,31.00,0,0,he,,,1.00,-0.25,0.89,115.13,0.00
290,Maybe?,0,6.00,1,0,,,,2.00,0.00,0.00,121.22,0.00
291,"No, you can't act like a child and keep your pass.",0,50.00,0,0,,,,2.00,0.00,0.00,111.07,0.00
292,"* Yes, he should have gotten it back.",0,37.00,0,0,he,,,1.00,0.00,0.00,89.75,0.00
293,Should Jim Acosta have gotten his press pass back?,0,50.00,1,0,"Jim Acosta, his",,,1.00,0.00,0.00,96.18,0.00
294,Should Jim Acosta have gotten his press pass back?,0,50.00,1,0,"Jim Acosta, his",,,1.00,0.00,0.00,96.18,0.00
295,take our poll - story continues below Should Jim Acosta have gotten his press pass back?,0,88.00,1,0,"Jim Acosta, his",,,1.00,0.00,0.00,64.71,0.00
296,SAN DIEGO -- People on the Mexican side of the border could be seen climbing the fence near Border Field State Park Tuesday afternoon after part of the Central American migrant caravan arrived in Tijuana.,0,204.00,0,0,,,,1.00,0.03,0.16,36.97,0.00
297,Fox 5 reports:,0,14.00,0,0,Fox,,,2.00,0.00,0.00,93.81,0.00
298,climbing effortlessly ,1,22.00,0,0,,,,2.00,0.00,0.00,-91.30,0.00
299,Members from one of the migrant caravans finally reached the US border on Tuesday.,0,82.00,0,0,,,US,2.00,0.00,1.00,57.27,0.00
300,Climb Atop Fencing Effortlessly ,1,32.00,0,0,,,,2.00,0.00,0.00,8.20,0.00
301,a bigger problem is the fact they actually changed one of the DOE forms,1,71.00,0,0,,,,2.00,0.00,0.30,74.19,0.00
302,She went on to write that she thinks the incorrect date was used because whoever sent the cure affidavit mixed up the deadline for cure affidavits with the deadline for provisional ballots.,0,189.00,0,0,"she, She",,,1.00,0.00,0.25,47.46,0.00
303,"“When I called it, it is the Democratic Party of Florida,” she said in a Nov. 8 email to DOS officials.",0,103.00,0,0,she,"DOS, Democratic Party of Florida",,1.00,0.00,0.00,75.54,0.00
