,sentence,span,propaganda
153,"Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court.
",complete hash ,1
154,"It’s a good example of how badly Trump does his job more than a year and a half into his administration.
",how badly Trump does his job ,1
155,"To begin with, Trump has outsourced his judicial nominations to outside, party-aligned groups, the Heritage Foundation and the Federalist Society.
","To begin with, Trump has outsourced his judicial nominations to outside, party-aligned groups, the Heritage Foundation and the Federalist Society.
",0
156,"That included an unusually central role for the Federalist Society’s Leonard Leo.
","That included an unusually central role for the Federalist Society’s Leonard Leo.
",0
157,"That wasn’t entirely a Trump mistake.
","That wasn’t entirely a Trump mistake.
",0
158,"His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate.
",reflected the reality-TV star’s weakness as a presidential candidate,1
159,"The party was worried that Trump might turn out not to be a conservative; to reassure them, he publicly committed to their top goal.
","The party was worried that Trump might turn out not to be a conservative; to reassure them, he publicly committed to their top goal.
",0
160,"In some ways, that’s successful coalition-building, and what he’s done in office is just keeping his promises on judges.
","In some ways, that’s successful coalition-building, and what he’s done in office is just keeping his promises on judges.
",0
161,"Still, it’s one thing to form an alliance with conservatives; it’s another to turn the whole process over to them.
","Still, it’s one thing to form an alliance with conservatives; it’s another to turn the whole process over to them.
",0
162,"We don’t know to what extent Kavanaugh was Trump’s choice and to what extent he was manipulated into choosing him.
","We don’t know to what extent Kavanaugh was Trump’s choice and to what extent he was manipulated into choosing him.
",0
163,"We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part.
",Trump is easily manipulated by those around him,1
164,"1
","1
",0
165,"Either way, Kavanaugh was a poor choice from the point of view of good presidenting.
","Either way, Kavanaugh was a poor choice from the point of view of good presidenting.
",0
166,"The judge was certain to be a highly controversial selection from the start.
","The judge was certain to be a highly controversial selection from the start.
",0
167,"After all, he had been a highly controversial selection for his current circuit court seat, eventually getting confirmed with only four Democratic votes after a long delay.
","After all, he had been a highly controversial selection for his current circuit court seat, eventually getting confirmed with only four Democratic votes after a long delay.
",0
168,"Kavanaugh is a longtime Republican operative, a hard-liner during both the Vince Foster and Monica Lewinsky investigations.
","Kavanaugh is a longtime Republican operative, a hard-liner during both the Vince Foster and Monica Lewinsky investigations.
",0
169,"Nominating him, rather than a conservative with similar views but a different background, was bound to stir up trouble.
","Nominating him, rather than a conservative with similar views but a different background, was bound to stir up trouble.
",0
170,"It was also true, as Senate Majority Leader Mitch McConnell reportedly warned, that normal disclosure of Kavanaugh’s record, especially his service during the George W. Bush administration, was going to delay confirmation even more.
","It was also true, as Senate Majority Leader Mitch McConnell reportedly warned, that normal disclosure of Kavanaugh’s record, especially his service during the George W. Bush administration, was going to delay confirmation even more.
",0
171,"Senate Republicans dealt with that problem by deciding to not bother with any Kavanaugh documents that couldn’t be produced rapidly, which further riled up the Democrats and gave that party some good talking points.
","Senate Republicans dealt with that problem by deciding to not bother with any Kavanaugh documents that couldn’t be produced rapidly, which further riled up the Democrats and gave that party some good talking points.
",0
172,"2
","2
",0
173,"Sometimes it’s worth taking risks.
","Sometimes it’s worth taking risks.
",0
174,"Presidents who shy away from anything that’s not a sure thing can fail to exploit opportunities.
","Presidents who shy away from anything that’s not a sure thing can fail to exploit opportunities.
",0
